ignore,opentime,openprice,tradeCount,ActiveTurnover,low,endPrice,activeBVolume,high,tradeVolume,volume,endtime,symbol
1705035600000,45956.34000000,46044.62000000,45898.00000000,46010.20000000,188.15500000,1705036499999,8649701.20987740,10819,103.10656000,4740183.10882610,0,BTCUSDT
1705036500000,46010.21000000,46138.00000000,46006.00000000,46105.65000000,361.68425000,1705037399999,16672551.46166650,15959,206.78266000,9531770.52030820,0,BTCUSDT
1705037400000,46105.66000000,46135.77000000,46010.17000000,46080.71000000,285.82808000,1705038299999,13170467.70816170,13193,135.45682000,6242611.17463430,0,BTCUSDT
1705038300000,46080.70000000,46209.98000000,46080.70000000,46194.01000000,305.89889000,1705039199999,14123199.12118720,13187,192.76819000,8900287.82389300,0,BTCUSDT
1705039200000,46194.01000000,46274.00000000,46181.51000000,46199.84000000,234.00663000,1705040099999,10816732.26248600,12609,134.23683000,6204768.35311450,0,BTCUSDT
1705040100000,46199.84000000,46366.00000000,46193.47000000,46338.01000000,349.68328000,1705040999999,16192917.13437950,14497,210.55437000,9749431.15134780,0,BTCUSDT
1705041000000,46338.02000000,46346.37000000,46213.77000000,46248.35000000,255.82765000,1705041899999,11834578.75081760,12424,132.13242000,6112367.64594770,0,BTCUSDT
1705041900000,46248.35000000,46248.35000000,46100.82000000,46100.85000000,223.32065000,1705042799999,10311801.90609000,11621,92.94466000,4291377.14392290,0,BTCUSDT
1705042800000,46100.85000000,46144.45000000,45910.06000000,45910.06000000,576.78992000,1705043699999,26540543.45530260,22859,283.50818000,13045959.75071290,0,BTCUSDT
1705043700000,45910.06000000,46037.65000000,45900.00000000,46012.29000000,281.27722000,1705044599999,12929340.10882060,15183,170.35705000,7830331.22351150,0,BTCUSDT
1705044600000,46012.28000000,46012.29000000,45858.00000000,45957.33000000,496.59404000,1705045499999,22800951.89960350,18046,239.35054000,10990426.83498080,0,BTCUSDT
1705045500000,45957.32000000,46024.89000000,45742.49000000,46008.19000000,829.37246000,1705046399999,38059810.89889240,25053,378.91469000,17391529.69208260,0,BTCUSDT
1705046400000,46008.19000000,46008.19000000,45812.89000000,45839.20000000,305.20174000,1705047299999,14008840.81340010,16250,130.55587000,5991159.45882450,0,BTCUSDT
1705047300000,45839.19000000,45914.17000000,45749.53000000,45767.17000000,320.72921000,1705048199999,14692355.34824960,15517,151.15832000,6924579.65862270,0,BTCUSDT
1705048200000,45767.17000000,45823.35000000,45632.00000000,45698.90000000,448.82490000,1705049099999,20514752.61374850,23293,214.50686000,9805638.49999260,0,BTCUSDT
1705049100000,45698.91000000,45886.00000000,45680.19000000,45860.01000000,322.54591000,1705049999999,14773938.92322800,16004,177.98128000,8153410.80850310,0,BTCUSDT
1705050000000,45860.00000000,45896.52000000,45668.38000000,45736.29000000,382.35690000,1705050899999,17510462.44465660,17210,183.09928000,8386001.00373770,0,BTCUSDT
1705050900000,45736.30000000,45802.08000000,45537.37000000,45624.16000000,647.18001000,1705051799999,29548614.06183860,26985,312.58500000,14273610.56788690,0,BTCUSDT
1705051800000,45624.15000000,46061.10000000,45560.24000000,45983.59000000,668.41390000,1705052699999,30636526.94968440,33139,399.39194000,18305726.18149700,0,BTCUSDT
1705052700000,45983.59000000,46076.34000000,45919.79000000,45925.92000000,433.81383000,1705053599999,19960912.65111550,21146,242.07948000,11139594.79640720,0,BTCUSDT
1705053600000,45925.93000000,46032.75000000,45865.65000000,45894.17000000,430.88053000,1705054499999,19796470.63267150,17874,225.66695000,10367542.00891130,0,BTCUSDT
1705054500000,45894.16000000,45981.36000000,45841.10000000,45906.52000000,267.80174000,1705055399999,12295667.23770440,13593,124.69571000,5725330.99747160,0,BTCUSDT
1705055400000,45906.52000000,45996.45000000,45864.29000000,45959.41000000,371.76126000,1705056299999,17076238.98814690,15568,223.04467000,10245172.40161030,0,BTCUSDT
1705056300000,45959.41000000,46133.33000000,45958.78000000,46063.62000000,462.29520000,1705057199999,21285816.27354870,25444,251.28362000,11569016.88400000,0,BTCUSDT
1705057200000,46063.62000000,46135.88000000,46011.55000000,46020.02000000,285.79876000,1705058099999,13168271.76755840,14474,132.15995000,6089355.34269680,0,BTCUSDT
1705058100000,46020.21000000,46232.00000000,45986.52000000,46221.84000000,519.18147000,1705058999999,23950131.00814010,28513,266.77454000,12307872.56908370,0,BTCUSDT
1705059000000,46221.83000000,46267.00000000,46046.40000000,46065.50000000,745.11326000,1705059899999,34397799.25521300,24436,366.09244000,16900950.88562070,0,BTCUSDT
1705059900000,46065.49000000,46133.06000000,45941.61000000,45954.35000000,426.80704000,1705060799999,19646033.23211080,19729,196.19425000,9030919.26335990,0,BTCUSDT
1705060800000,45954.35000000,46040.00000000,45921.37000000,46031.10000000,582.57835000,1705061699999,26782770.73388770,24179,301.74107000,13872616.47669320,0,BTCUSDT
1705061700000,46031.10000000,46109.00000000,45970.70000000,46014.24000000,346.88276000,1705062599999,15970569.23140230,23214,152.12885000,7003652.74001860,0,BTCUSDT
1705062600000,46014.24000000,46017.03000000,45779.91000000,45852.72000000,464.42273000,1705063499999,21315423.75269680,22715,196.27436000,9008513.53463500,0,BTCUSDT
1705063500000,45852.73000000,45885.64000000,45667.47000000,45866.56000000,458.28725000,1705064399999,20978451.02687980,25503,229.88980000,10523364.09354650,0,BTCUSDT
1705064400000,45866.57000000,45929.37000000,45790.00000000,45844.33000000,442.91758000,1705065299999,20317148.44608380,19433,205.05951000,9406951.10652250,0,BTCUSDT
1705065300000,45844.33000000,45944.12000000,45732.68000000,45752.92000000,407.17609000,1705066199999,18662788.92685030,21671,187.74849000,8605053.99246830,0,BTCUSDT
1705066200000,45752.92000000,45852.00000000,45573.44000000,45682.25000000,838.34552000,1705067099999,38327960.74798580,35439,388.36676000,17756307.64104980,0,BTCUSDT
1705067100000,45682.25000000,45837.15000000,45682.25000000,45779.02000000,467.22172000,1705067999999,21384672.70913160,21816,228.29962000,10448945.11551730,0,BTCUSDT
1705068000000,45779.02000000,45837.92000000,45656.81000000,45837.00000000,341.31739000,1705068899999,15616155.36412600,18304,164.12297000,7510414.89072210,0,BTCUSDT
1705068900000,45837.00000000,45899.42000000,45637.57000000,45882.95000000,497.48656000,1705069799999,22765832.76060620,24918,274.20901000,12547640.32697960,0,BTCUSDT
1705069800000,45882.96000000,45904.66000000,45283.29000000,45290.00000000,2905.74335000,1705070699999,132160260.99979630,82186,1357.43520000,61729594.61241830,0,BTCUSDT
1705070700000,45289.99000000,45589.78000000,45250.01000000,45442.02000000,1958.42819000,1705071599999,89003290.22723310,46771,1282.36853000,58274831.39199320,0,BTCUSDT
1705071600000,45442.01000000,45459.28000000,45155.71000000,45172.15000000,1347.84245000,1705072499999,61058159.66381050,44790,590.21861000,26741611.84826470,0,BTCUSDT
1705072500000,45172.14000000,45221.99000000,44651.10000000,44941.55000000,3408.76771000,1705073399999,153188550.50621290,104329,1412.19267000,63464500.15660740,0,BTCUSDT
1705073400000,44941.56000000,44950.00000000,44445.00000000,44525.97000000,2480.84680000,1705074299999,110778679.54297850,73827,1043.40697000,46603533.81147140,0,BTCUSDT
1705074300000,44525.97000000,44659.68000000,44333.44000000,44462.01000000,2247.95210000,1705075199999,100040147.54978710,73973,1254.24500000,55826124.86179620,0,BTCUSDT
1705075200000,44462.00000000,44675.88000000,44293.00000000,44355.55000000,2817.00621000,1705076099999,125331415.10711180,64755,1537.65843000,68428185.15375730,0,BTCUSDT
1705076100000,44355.56000000,44383.98000000,43814.02000000,44122.60000000,3491.45780000,1705076999999,153925344.50268130,145494,1466.66650000,64666647.89737390,0,BTCUSDT
1705077000000,44122.59000000,44197.23000000,43376.38000000,43571.46000000,3699.07709000,1705077899999,161725979.32837850,98380,1658.20177000,72471139.46521470,0,BTCUSDT
1705077900000,43571.45000000,43927.53000000,43212.00000000,43624.00000000,2646.15021000,1705078799999,115320874.24408200,82075,1149.38264000,50101593.25645150,0,BTCUSDT
1705078800000,43623.99000000,43774.00000000,43445.19000000,43593.18000000,1470.31056000,1705079699999,64130551.92707210,47549,790.88793000,34495807.69738030,0,BTCUSDT
1705079700000,43593.19000000,43654.24000000,43278.00000000,43452.69000000,2161.18165000,1705080599999,93816323.60738570,56196,1066.47249000,46292667.32473490,0,BTCUSDT
1705080600000,43452.69000000,43715.64000000,43389.91000000,43566.59000000,1380.84889000,1705081499999,60197850.30568880,35218,767.02731000,33437094.22933070,0,BTCUSDT
1705081500000,43566.59000000,43836.88000000,43541.41000000,43803.99000000,1393.26646000,1705082399999,60826726.61423120,33105,683.89942000,29857116.46401970,0,BTCUSDT
1705082400000,43803.98000000,43925.23000000,43250.00000000,43687.79000000,1882.98175000,1705083299999,82448724.59478730,47354,960.32760000,42085960.68800480,0,BTCUSDT
1705083300000,43687.79000000,43720.00000000,43532.13000000,43545.99000000,711.69779000,1705084199999,31059693.26091510,18606,330.04567000,14405955.18868180,0,BTCUSDT
1705084200000,43546.00000000,43558.00000000,43315.09000000,43453.17000000,1109.28414000,1705085099999,48161836.42910050,25926,454.74913000,19742869.40794810,0,BTCUSDT
1705085100000,43453.17000000,43638.87000000,43352.95000000,43472.00000000,778.62814000,1705085999999,33891791.12360970,26884,353.43309000,15382176.42907700,0,BTCUSDT
1705086000000,43472.00000000,43499.91000000,43290.05000000,43332.39000000,867.20249000,1705086899999,37618636.05097580,20561,360.79319000,15653182.98610740,0,BTCUSDT
1705086900000,43332.39000000,43710.02000000,43274.68000000,43662.29000000,989.95352000,1705087799999,43089166.21981640,23684,572.65064000,24927970.99144990,0,BTCUSDT
1705087800000,43662.28000000,43720.00000000,43484.01000000,43511.67000000,542.12377000,1705088699999,23643109.86172480,15335,245.29716000,10698595.54161780,0,BTCUSDT
